;TransportID;ContainerID;ContainerType;Forwarder;TruckingTimeStart;GroundHandler1;Airport1;GroundHandler2;Airport2;GroundHandler3;Airport3;GroundHandler4;Airport4;GroundHandler5;Airport5;TruckingTimeEnd;full_timestamp_flag
52;5611;000-10480;770C;;2014-01-15 00:00:00;;;;;;;;;;;2014-01-15 00:00:00;False
53;5612;000-10481;770C;;2014-01-15 00:00:00;;;;;;;;;;;2014-01-15 00:00:00;False
54;5613;000-10028;770C;;2013-09-07 00:00:00;;;;;;;;;;;2013-09-07 00:00:00;False
55;5614;000-10028;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
56;5615;000-10026;770C;;2013-09-07 00:00:00;;;;;;;;;;;2013-09-07 00:00:00;False
57;5616;000-10026;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
58;5617;000-10027;770C;;2013-09-07 00:00:00;;;;;;;;;;;2013-09-07 00:00:00;False
59;5618;000-10027;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
60;5619;000-10129;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
61;5620;000-10129;770C;;2013-10-21 00:00:00;;;;;;;;;;;2013-10-21 00:00:00;False
62;5621;000-10127;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
63;5622;000-10127;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
64;5623;000-10128;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
65;5624;000-10128;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
66;5625;000-10125;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
67;5626;000-10125;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
68;5627;000-10126;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
69;5628;000-10126;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
70;5629;000-10124;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
71;5630;000-10124;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
72;5631;000-10123;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
73;5632;000-10123;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
74;5633;000-10122;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
75;5634;000-10122;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
76;5635;000-10121;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
77;5636;000-10121;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
78;5637;000-10120;770C;;2013-04-09 00:00:00;;;;;;;;;;;2013-04-09 00:00:00;False
79;5638;000-10120;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
80;5639;000-10021;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
81;5640;000-10021;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
82;5641;000-10023;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
83;5642;000-10023;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
84;5643;000-10022;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
85;5644;000-10022;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
86;5645;000-10037;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
87;5646;000-10037;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
88;5647;000-10038;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
89;5648;000-10038;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
90;5649;000-10039;770C;;2013-11-07 00:00:00;;;;;;;;;;;2013-11-07 00:00:00;False
91;5650;000-10039;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
92;5651;000-10138;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
93;5652;000-10138;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
94;5653;000-10139;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
95;5654;000-10139;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
96;5655;000-10133;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
97;5656;000-10133;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
98;5657;000-10132;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
99;5658;000-10132;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
100;5659;000-10135;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
101;5660;000-10135;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
102;5661;000-10134;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
103;5662;000-10134;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
104;5663;000-10131;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
105;5664;000-10131;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
106;5665;000-10030;770C;;2013-09-07 00:00:00;;;;;;;;;;;2013-09-07 00:00:00;False
107;5666;000-10030;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
108;5667;000-10032;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
109;5668;000-10032;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
110;5669;000-10031;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
111;5670;000-10031;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
112;5671;000-10034;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
113;5672;000-10034;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
114;5673;000-10033;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
115;5674;000-10033;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
116;5675;000-10036;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
117;5676;000-10036;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
118;5677;000-10035;770C;;2013-10-07 00:00:00;;;;;;;;;;;2013-10-07 00:00:00;False
119;5678;000-10035;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
120;5679;000-10288;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
121;5680;000-10289;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
122;5681;000-10286;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
123;5682;000-10009;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
124;5683;000-10009;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
125;5684;000-10287;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
126;5685;000-10006;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
127;5686;000-10006;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
128;5687;000-10284;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
129;5688;000-10007;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
130;5689;000-10007;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
131;5690;000-10285;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
132;5691;000-10004;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
133;5692;000-10004;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
134;5693;000-10282;770C;;2013-02-12 00:00:00;;;;;;;;;;;2013-02-12 00:00:00;False
135;5694;000-10005;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
136;5695;000-10005;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
137;5696;000-10283;770C;;2013-02-12 00:00:00;;;;;;;;;;;2013-02-12 00:00:00;False
138;5697;000-10149;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
139;5698;000-10149;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
140;5699;000-10280;770C;;2013-02-12 00:00:00;;;;;;;;;;;2013-02-12 00:00:00;False
141;5700;000-10281;770C;;2013-02-12 00:00:00;;;;;;;;;;;2013-02-12 00:00:00;False
142;5701;000-10147;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
143;5702;000-10147;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
144;5703;000-10148;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
145;5704;000-10148;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
146;5705;000-10142;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
147;5706;000-10142;770C;;2013-10-21 00:00:00;;;;;;;;;;;2013-10-21 00:00:00;False
148;5707;000-10141;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
149;5708;000-10141;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
150;5709;000-10140;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
151;5710;000-10140;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
152;5711;000-10146;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
153;5712;000-10146;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
154;5713;000-10145;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
155;5714;000-10145;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
156;5715;000-10144;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
157;5716;000-10144;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
158;5717;000-10143;770C;;2013-06-09 00:00:00;;;;;;;;;;;2013-06-09 00:00:00;False
159;5718;000-10143;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
160;5719;000-10019;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
161;5720;000-10019;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
162;5721;000-10297;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
163;5722;000-10298;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
164;5723;000-10299;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
165;5724;000-10015;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
166;5725;000-10015;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
167;5726;000-10293;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
168;5727;000-10016;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
169;5728;000-10016;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
170;5729;000-10294;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
171;5730;000-10017;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
172;5731;000-10017;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
173;5732;000-10295;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
174;5733;000-10018;770C;;2013-08-07 00:00:00;;;;;;;;;;;2013-08-07 00:00:00;False
175;5734;000-10018;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
176;5735;000-10296;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
177;5736;000-10158;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
178;5737;000-10158;770C;;2013-10-21 00:00:00;;;;;;;;;;;2013-10-21 00:00:00;False
179;5738;000-10159;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
180;5739;000-10159;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
181;5740;000-10290;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
182;5741;000-10291;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
183;5742;000-10292;770C;;2013-04-12 00:00:00;;;;;;;;;;;2013-04-12 00:00:00;False
184;5743;000-10151;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
185;5744;000-10151;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
186;5745;000-10153;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
187;5746;000-10153;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
188;5747;000-10152;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
189;5748;000-10152;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
190;5749;000-10155;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
191;5750;000-10154;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
192;5751;000-10154;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
193;5752;000-10157;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
194;5753;000-10157;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
195;5754;000-10156;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
196;5755;000-10156;770C;;2013-10-21 00:00:00;;;;;;;;;;;2013-10-21 00:00:00;False
197;5756;000-10012;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
198;5757;000-10012;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
199;5758;000-10011;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
200;5759;000-10011;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
201;5760;000-10014;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
202;5761;000-10014;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
203;5762;000-10013;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
204;5763;000-10013;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
205;5764;000-10010;770C;;2013-04-07 00:00:00;;;;;;;;;;;2013-04-07 00:00:00;False
206;5765;000-10010;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
207;5766;000-10366;770C;;2013-09-12 00:00:00;;;;;;;;;;;2013-09-12 00:00:00;False
208;5767;000-10365;770C;;2013-09-12 00:00:00;;;;;;;;;;;2013-09-12 00:00:00;False
209;5768;000-10364;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
210;5769;000-10363;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
211;5770;000-10362;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
212;5771;000-10361;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
213;5772;000-10360;770C;;2013-06-12 00:00:00;;;;;;;;;;;2013-06-12 00:00:00;False
214;5773;000-10169;770C;;2013-09-13 00:00:00;;;;;;;;;;;2013-09-13 00:00:00;False
215;5774;000-10169;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
216;5775;000-10263;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
217;5776;000-10262;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
218;5777;000-10261;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
219;5778;000-10260;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
220;5779;000-10267;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
221;5780;000-10265;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
222;5781;000-10264;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
223;5782;000-10064;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
224;5783;000-10064;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
225;5784;000-10160;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
226;5785;000-10160;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
227;5786;000-10062;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
228;5787;000-10062;770C;;2013-11-26 00:00:00;;;;;;;;;;;2013-11-26 00:00:00;False
229;5788;000-10268;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
230;5789;000-10063;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
231;5790;000-10063;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
232;5791;000-10269;770C;;2013-11-29 00:00:00;;;;;;;;;;;2013-11-29 00:00:00;False
233;5792;000-10068;770C;;2013-07-18 00:00:00;;;;;;;;;;;2013-07-18 00:00:00;False
234;5793;000-10068;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
235;5794;000-10069;770C;;2013-07-18 00:00:00;;;;;;;;;;;2013-07-18 00:00:00;False
236;5795;000-10069;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
237;5796;000-10066;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
238;5797;000-10066;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
239;5798;000-10167;770C;;2013-09-13 00:00:00;;;;;;;;;;;2013-09-13 00:00:00;False
240;5799;000-10167;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
241;5800;000-10168;770C;;2013-09-13 00:00:00;;;;;;;;;;;2013-09-13 00:00:00;False
242;5801;000-10168;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
243;5802;000-10165;770C;;2013-09-13 00:00:00;;;;;;;;;;;2013-09-13 00:00:00;False
244;5803;000-10165;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
245;5804;000-10163;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
246;5805;000-10163;770C;;2013-11-25 00:00:00;;;;;;;;;;;2013-11-25 00:00:00;False
247;5806;000-10060;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
248;5807;000-10060;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
249;5808;000-10369;770C;;2013-09-12 00:00:00;;;;;;;;;;;2013-09-12 00:00:00;False
250;5809;000-10164;770C;;2013-09-13 00:00:00;;;;;;;;;;;2013-09-13 00:00:00;False
251;5810;000-10164;770C;;2013-11-22 00:00:00;;;;;;;;;;;2013-11-22 00:00:00;False
252;5811;000-10061;770C;;2013-07-16 00:00:00;;;;;;;;;;;2013-07-16 00:00:00;False
253;5812;000-10061;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
254;5813;000-10161;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
255;5814;000-10161;770C;;2013-11-21 00:00:00;;;;;;;;;;;2013-11-21 00:00:00;False
256;5815;000-10367;770C;;2013-09-12 00:00:00;;;;;;;;;;;2013-09-12 00:00:00;False
257;5816;000-10162;770C;;2013-11-09 00:00:00;;;;;;;;;;;2013-11-09 00:00:00;False
258;5817;000-10162;770C;;2013-11-27 00:00:00;;;;;;;;;;;2013-11-27 00:00:00;False
259;5818;000-10368;770C;;2013-09-12 00:00:00;;;;;;;;;;;2013-09-12 00:00:00;False
260;5819;000-10375;770C;;2013-12-12 00:00:00;;;;;;;;;;;2013-12-12 00:00:00;False
261;5820;000-10374;770C;;2013-12-12 00:00:00;;;;;;;;;;;2013-12-12 00:00:00;False
262;5821;000-10377;770C;;2013-12-12 00:00:00;;;;;;;;;;;2013-12-12 00:00:00;False
263;5822;000-10376;770C;;2013-12-12 00:00:00;;;;;;;;;;;2013-12-12 00:00:00;False
